Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Year,MRP_Level,Item_Outlet_Sales,Item_Class
FDO,17.85,Low Fat,0.141789197,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,23.3457027643338,FD
DRH,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,16,High,11.9245169945412,DR
NCX,10,None,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,14,High,25.8405018873943,NC
FDV,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,21.8453943926576,FD
DRZ,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,13.1379155010495,DR
FDX,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,10.4944224249339,FD
FDB,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,24.8858705452421,FD
FDU,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,14.8959395616974,FD
FDK,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,26,Medium,17.0674592466786,FD
FDA,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,14,High,13.1010815204319,FD
FDC,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,26.0400111107777,FD
FDL,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,26,Medium,2.95257089465521,FD
FDM,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,15,High,2.01122963365566,FD
NCP,19.6,None,0.03443677,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,11,High,15.8434466779385,NC
FDV,10,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,21.925345728456,FD
FDL,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,16,Low,42.5034805846063,FD
FDS,10.195,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,28,High,3.96342938875271,FD
NCL,7.39,None,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,16,High,21.7859345070795,NC
FDM,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,26,High,6.01271946374741,FD
FDR,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,26,Medium,6.92823530617894,FD
FDA,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,6,High,15.8940825768894,FD
NCP,12.15,None,0.028760013,Household,151.4708,OUT017,Small,Tier 2,Supermarket Type1,6,High,31.788738159434,NC
FDK,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,25.1305007051054,FD
NCX,9.195,None,0.048157338,Household,106.1622,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,19.9434827085347,NC
DRK,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,20.9448103315059,DR
FDY,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,16,High,25.2442021273861,FD
FDI,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,28,High,4.95556404775976,FD
FDM,10,Low Fat,0.042128684,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,12.8999653321151,FD
FDV,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,12.1648513933377,FD
FDF,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,12.6604396522902,FD
FDY,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,28,Low,2.89426112020553,FD
FDY,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,9.9413685976463,FD
FDC,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Small,Tier 3,Grocery Store,15,High,0.994607030490771,FD
FDH,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,9,High,28.1946993112512,FD
FDZ,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Small,Tier 2,Supermarket Type1,11,High,6.01290156108889,FD
DRH,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Small,Tier 2,Supermarket Type1,11,High,13.9660302597593,DR
NCI,8.645,None,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,21.1533790340251,NC
FDJ,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,16,High,20.1880401747833,FD
FDL,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,26,Low,10.1181993178211,FD
FDH,18.25,Low Fat,0.06358934,Starchy Foods,164.7526,OUT045,Small,Tier 2,Supermarket Type1,11,High,27.9490144616838,FD
FDG,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Small,Tier 2,Supermarket Type1,6,High,12.0506278913272,FD
NCZ,7.825,None,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,21.9394582218487,NC
FDC,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,20.0877057577076,FD
FDQ,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,14,High,7.00406168657473,FD
FDN,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,28,Medium,7.14780996750403,FD
FDL,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,15.1286177309546,FD
FDV,5.905,Low Fat,0.042891098,Canned,222.5456,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,23.8382353998461,FD
FDD,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,16.666241287916,FD
FDN,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,16,High,7.915712143662,FD
FDV,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4,High,24.9733979727127,FD
NCL,18.85,None,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,28,High,2.99691696777615,NC
FDR,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,28,High,18.0420127858912,FD
FDG,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,6,High,14.0079094793981,FD
FDZ,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,9,High,16.8732856290996,FD
FDQ,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,28,High,21.0673236600989,FD
FDN,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,6.91949278362588,FD
FDN,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,12.9889154917088,FD
FDW,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Small,Tier 3,Grocery Store,15,Medium,3.02455534365203,FD
DRG,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,17.2981424970812,DR
DRI,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Small,Tier 2,Supermarket Type1,11,Low,25.0453215473139,DR
FDA,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,9,Low,10.7529925897777,FD
NCR,9.8,None,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,11.1248371878634,NC
FDU,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,28,Medium,4.05997930713904,FD
FDF,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,5.00609642099445,FD
FDB,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,9,High,20.0320075793948,FD
NCP,12.15,None,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,28,High,29.0966854881083,NC
FDB,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,16,High,6.996273733655,FD
FDT,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,11,High,11.9523402272312,FD
FDD,20.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,28,High,15.9910381416691,FD
FDW,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,14,High,21.754331032234,FD
DRB,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,26,Low,17.219172713255,DR
FDP,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,15.0212173876964,FD
FDH,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,26,High,15.9206707851751,FD
FDA,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,26,High,11,FD
FDG,6.635,Regular,0.003612411,Baking Goods,121.3098,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,20.8615116008764,FD
DRE,9.395,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,28,Very_High,3.01331132527554,DR
DRK,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,26,Low,19.6136553515978,DR
FDD,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,3.00645078054445,FD
FDS,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,26.6835986937704,FD
FDW,6.69,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,28,High,0.997174135426734,FD
FDX,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,33.6647763779088,FD
FDV,9.1,Regular,0.077628053,Breads,173.2054,OUT045,Small,Tier 2,Supermarket Type1,11,High,18.1974534281264,FD
FDD,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,24.8536119780535,FD
FDZ,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,6,High,25.1688769629998,FD
FDZ,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,23.3164475687654,FD
DRA,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Small,Tier 2,Supermarket Type1,6,High,18.1924236398856,DR
FDY,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,5.02862560961539,FD
NCF,13,None,0.035307322,Household,47.5034,OUT017,Small,Tier 2,Supermarket Type1,6,Low,14.3241873213286,NC
DRJ,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Small,Tier 2,Supermarket Type1,11,High,13.1144238132302,DR
FDB,20.25,Regular,0.171938781,Canned,92.512,OUT010,Small,Tier 3,Grocery Store,15,Medium,2.01513317191283,FD
FDJ,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,9,High,15.9663428923025,FD
FDW,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Small,Tier 2,Supermarket Type1,6,Low,13.8214268631396,FD
FDL,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,9.14204395997517,FD
DRI,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,13.7961847730615,DR
FDV,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Small,Tier 2,Supermarket Type1,6,Low,17.579593754025,FD
DRG,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,26,High,5.02306148455342,DR
NCP,20.5,None,0.032835147,Household,40.2822,OUT045,Small,Tier 2,Supermarket Type1,11,Low,17.5531525090487,NC
FDY,12,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,28,High,44.1218177871688,FD
NCH,13.5,None,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,16,High,8.97192623462182,NC
NCR,12.15,None,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,31.0828727804798,NC
FDS,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Small,Tier 3,Grocery Store,15,Medium,0.995083656500979,FD
FDG,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,4,High,5.05039285206568,FD
NCO,7.235,None,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,16.9707020815309,NC
FDH,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,28,High,31.8065911324452,FD
FDB,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Small,Tier 2,Supermarket Type1,11,Low,21.6932386127305,FD
FDX,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,5.89429315151755,FD
NCN,18.5,None,0.056816465,Others,132.1284,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.99545896264543,NC
NCC,8.02,None,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,9,High,9.06985896251679,NC
NCX,9.195,None,0.048331717,Household,105.1622,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,16.1065021462084,NC
NCO,12.8,None,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,20.3030480956268,NC
NCC,16.6,None,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,14,High,15.0675544826903,NC
FDI,14,Regular,0.16767231,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,9,Low,17.0640735715363,FD
FDP,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,29.9147658781022,FD
FDB,16,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,27.7778173552859,FD
NCB,17.6,None,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,9,High,9.94399223358973,NC
FDA,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,9,High,2.96970326026583,FD
NCO,7.235,None,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,16.7541454982254,NC
DRJ,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Small,Tier 2,Supermarket Type1,6,Low,20.5413864028017,DR
FDR,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,4,High,11.1089641594591,FD
FDI,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,4,High,14.0070834931336,FD
DRK,9.5,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,28.725790987536,DR
FDX,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,14.0123799586156,FD
NCI,18.35,None,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,16.057251584035,NC
FDB,5.465,Regular,0.05370465,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,1.97887790372247,FD
FDN,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,19.1332187451796,FD
DRD,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Small,Tier 2,Supermarket Type1,6,High,12.0766417297187,DR
FDQ,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,26,High,15.989648408184,FD
FDM,14,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,26,Low,24.31524359068,FD
FDR,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,18.6474568443883,FD
FDV,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,14.8988971249038,FD
DRF,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,22.919476104534,DR
FDW,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,12.9091146367382,FD
DRL,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,23.0197005684899,DR
FDP,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,13.0899104768298,FD
FDL,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,13.9440020607242,FD
NCB,14.6,None,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,28,High,27.9436643522105,NC
FDW,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,10,FD
NCM,14.5,None,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,9,High,12.8659151443081,NC
FDK,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,6,High,22.0889793833613,FD
FDM,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,26,High,8.98217075660705,FD
FDS,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,26,High,22.1968330017368,FD
FDI,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,Small,Tier 3,Grocery Store,15,Medium,3,FD
FDR,17.85,Low Fat,0.123086812,Breads,196.5794,OUT010,Small,Tier 3,Grocery Store,15,High,2.97710848644365,FD
FDB,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,10.9050500429433,FD
NCU,11.8,None,0.098312421,Health and Hygiene,81.4618,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.97790375366123,NC
DRY,9.395,Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,28,Low,1.01187332586105,DR
FDO,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,Small,Tier 2,Supermarket Type1,11,High,19.1206652593287,FD
FDQ,14,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,28,High,39.3567098028558,FD
FDV,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,Small,Tier 2,Supermarket Type1,11,High,4.98990625943134,FD
NCO,10,None,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,28,Medium,2.03221868005155,NC
FDU,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,26,Medium,12.1808228503354,FD
FDT,6.215,Regular,0.049381406,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,20.8981509323819,FD
FDK,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,10.1199980800307,FD
FDO,11.1,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,28,High,3.96862794309109,FD
NCW,14,None,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,5.97239919957679,NC
FDE,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Small,Tier 2,Supermarket Type1,11,High,13,FD
NCB,6.525,None,0.090436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,26.2444522272183,NC
FDV,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,15.9846101757518,FD
FDL,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,17.9252143854284,FD
FDA,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Small,Tier 2,Supermarket Type1,11,High,19.0347237875002,FD
FDT,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,9.32314431385691,FD
NCX,17.6,None,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,28,High,27.7699860239127,NC
FDT,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,16,Low,14.3721780925341,FD
FDB,19,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,16,Low,20.6505227597053,FD
NCN,14.6,None,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,25.1569998049016,NC
FDE,15.6,Regular,0.098663652,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,33.4596261248518,FD
